"","n","z0","z1"
"1",26.2800824915608,26.2800824915608,20.3392551256535
"2",52.7925296037279,52.7925296037279,40.4064265533737
"3",-8.26614331106487,0,0
"4",28.7237340574464,28.7237340574464,22.7747429086649
"5",13.2895948965215,13.2895948965215,13.8756054304188
"6",117.89722608232,117.89722608232,94.9313995700482
"7",58.3219679130636,58.3219679130636,46.7934378729939
"8",63.8986476706044,63.8986476706044,51.4439003276987
"9",36.3096405804349,36.3096405804349,29.0273076409789
"10",38.1809747124093,38.1809747124093,29.7491319836063
"11",63.7035449564585,63.7035449564585,50.4291914163219
"12",67.1322240518467,67.1322240518467,54.5584386003727
"13",82.4008387169393,82.4008387169393,66.7776140908169
"14",49.4418843199264,49.4418843199264,40.3462264354487
"15",-13.652476440109,0,0
"16",36.39851851273,36.39851851273,29.1398238794092
"17",32.3836403553533,32.3836403553533,25.708008506187
"18",41.6928568687193,41.6928568687193,32.7633906137993
"19",26.3347588196366,26.3347588196366,21.0236336587005
"20",32.038025034544,32.038025034544,25.4854658214347
"21",15.1992796217154,15.1992796217154,14.0488863616921
"22",76.4811043519638,76.4811043519638,60.5839352553222
"23",39.8647094097125,39.8647094097125,32.0413514868903
"24",42.744359896549,42.744359896549,32.9932260870633
"25",49.7664836215316,49.7664836215316,39.5981366970358
"26",30.9674560850609,30.9674560850609,24.4942346575956
"27",79.6641578003618,79.6641578003618,63.6711709878531
"28",24.3932275528258,24.3932275528258,19.5172404090235
"29",40.8161627472232,40.8161627472232,33.3398596154318
"30",40.9993327694292,40.9993327694292,31.2289451026779
"31",63.2623398288794,63.2623398288794,50.792756288851
"32",56.0723435490861,56.0723435490861,44.3294794505615
"33",83.7150018350916,83.7150018350916,65.4283787457457
"34",20.5461759733022,20.5461759733022,20.090846200968
"35",-42.4152373531905,0,0
"36",85.5143279116086,85.5143279116086,67.6487251877995
"37",42.5933110274058,42.5933110274058,34.1329615890706
"38",43.3183928639632,43.3183928639632,35.1789400632911
"39",14.1109206045436,14.1109206045436,13.4920182999914
"40",32.9449079738636,32.9449079738636,26.5457849521446
"41",16.680896718298,16.680896718298,15.5890720502089
"42",72.9052732487092,72.9052732487092,58.4224777625777
"43",86.3167660245922,86.3167660245922,68.4245746370484
"44",22.6262768136321,22.6262768136321,18.9459002882266
"45",76.9125066933703,76.9125066933703,61.0381617071172
"46",37.4809679547771,37.4809679547771,30.6442082999907
"47",28.9621072017324,28.9621072017324,24.7536537042843
"48",19.9836471604467,19.9836471604467,20.2226388588254
"49",-6.83530030878286,0,0
"50",32.212549948265,32.212549948265,25.828148534893
"51",9.91401244260631,9.91401244260631,10.6347941568198
"52",77.3435878385192,77.3435878385192,60.087084583628
"53",19.5599264201435,19.5599264201435,19.6540230362653
"54",64.1600211978136,64.1600211978136,50.00863059467
"55",43.8342960735558,43.8342960735558,33.5935204134505
"56",65.8026097818671,65.8026097818671,51.4493890516172
"57",-4.49612832909501,0,0
"58",73.355857434582,73.355857434582,57.9234262568595
"59",49.244529410178,49.244529410178,38.5498090180603
"60",40.9425690893569,40.9425690893569,30.5607768027523
"61",40.1070057691732,40.1070057691732,31.1874424517025
"62",81.0052561706812,81.0052561706812,62.852102505041
"63",94.2034865061984,94.2034865061984,74.9015918807197
"64",6.90231122872278,6.90231122872278,5.19931323005673
"65",26.9535040858378,26.9535040858378,20.2502708073857
"66",40.5783895484332,40.5783895484332,33.9899441442444
"67",36.4093228431665,36.4093228431665,29.1288626731185
"68",29.6023788638639,29.6023788638639,23.8780245440221
"69",-14.185205060896,0,0
"70",44.7851105567479,44.7851105567479,34.6549623022047
"71",53.1405165076512,53.1405165076512,42.2575973375844
"72",13.1851077559654,13.1851077559654,13.4470332296601
"73",37.8474245998891,37.8474245998891,30.8133880828769
"74",59.4904016259056,59.4904016259056,48.1395010339163
"75",8.66448332530895,8.66448332530895,9.20398270144493
"76",67.3312130880155,67.3312130880155,54.5441202824398
"77",31.1767462808481,31.1767462808481,25.595055151577
"78",81.6204626041593,81.6204626041593,63.9329755530469
"79",37.7503944228077,37.7503944228077,30.5325796848177
"80",62.2551724404176,62.2551724404176,51.1070229876902
"81",89.0840668828604,89.0840668828604,71.6270211903239
"82",35.3445972705616,35.3445972705616,26.505165164481
"83",102.113599955783,102.113599955783,79.7061946250101
"84",8.61326310539869,8.61326310539869,8.40986429162827
"85",36.1886069511714,36.1886069511714,28.4485265028427
"86",19.9446892202675,19.9446892202675,20.9739854720926
"87",39.3796161261391,39.3796161261391,30.2448256571554
"88",52.3202157230667,52.3202157230667,40.8651716626691
"89",41.5169621809106,41.5169621809106,34.0628348686767
"90",131.067021060982,131.067021060982,103.72485171765
"91",76.834137354137,76.834137354137,59.7530048562142
"92",49.0255943828637,49.0255943828637,39.4527006763083
"93",46.3119503348759,46.3119503348759,37.4462152031353
"94",76.880779055616,76.880779055616,60.2681438027732
"95",31.5391764741431,31.5391764741431,24.9620079634802
"96",35.4543153572579,35.4543153572579,30.3156907502444
"97",45.6882484193315,45.6882484193315,36.6749948814662
"98",44.5992541792846,44.5992541792846,33.8023692543385
"99",40.3745365758578,40.3745365758578,31.8916734347977
"100",16.4677672845319,16.4677672845319,15.9837938474084
"101",60.4223754447151,60.4223754447151,45.5241465421278
"102",63.6942091325865,63.6942091325865,51.3143714990257
"103",29.3957923189831,29.3957923189831,22.8280186756843
"104",59.4694665587336,59.4694665587336,47.6193518767248
"105",21.2082209781342,21.2082209781342,20.3333176923529
"106",108.077129519451,108.077129519451,84.2176053480134
"107",7.2003740302321,7.2003740302321,7.66023678741176
"108",-15.6582455866603,0,0
"109",12.3094694519628,12.3094694519628,12.0659069486866
"110",41.3200623129506,41.3200623129506,34.8974907101933
"111",26.9979767682274,26.9979767682274,22.2322890160589
"112",7.08795896074464,7.08795896074464,8.88481156874777
"113",87.7907440846181,87.7907440846181,68.5348009185745
"114",33.0444672393969,33.0444672393969,25.9739352928717
"115",59.1996069559497,59.1996069559497,46.8083170641366
"116",92.7869305007768,92.7869305007768,74.4158566528116
"117",35.6553012331594,35.6553012331594,28.4262736294543
"118",70.2429479229639,70.2429479229639,58.0147409173358
"119",31.0686460984621,31.0686460984621,24.3069710529677
"120",10.6163317444297,10.6163317444297,10.8958783892946
"121",50.5300311792107,50.5300311792107,40.2738601659841
"122",23.7575650989708,23.7575650989708,21.2716121047519
"123",39.5451870061763,39.5451870061763,31.2962772441585
"124",33.9247515371494,33.9247515371494,27.8450326022216
"125",23.2261376936851,23.2261376936851,18.9240383837473
"126",-18.3527338207814,0,0
"127",48.1403601153299,48.1403601153299,36.5435566267228
"128",96.3408628057317,96.3408628057317,75.2329200025711
"129",41.9443192429971,41.9443192429971,33.2699756264973
"130",50.3894646394819,50.3894646394819,39.4316538906912
